Logical Address,Page Number,Offset,TLB Hit/Miss,Page Fault,Frame Number,Physical Address,Value,Replaced Page,Replaced Frame
16916,66,20,miss,yes,0,20,0,-1,-1
62493,244,29,miss,yes,1,285,0,-1,-1
30198,117,246,miss,yes,2,758,29,-1,-1
53683,209,179,miss,yes,3,947,108,-1,-1
40185,156,249,miss,yes,4,1273,0,-1,-1
28781,112,109,miss,yes,5,1389,0,-1,-1
24462,95,142,miss,yes,6,1678,23,-1,-1
48399,189,15,miss,yes,7,1807,67,-1,-1
64815,253,47,miss,yes,8,2095,75,-1,-1
18295,71,119,miss,yes,9,2423,-35,-1,-1
12218,47,186,miss,yes,10,2746,11,-1,-1
22760,88,232,miss,yes,11,3048,0,-1,-1
57982,226,126,miss,yes,12,3198,56,-1,-1
27966,109,62,miss,yes,13,3390,27,-1,-1
54894,214,110,miss,yes,14,3694,53,-1,-1
38929,152,17,miss,yes,15,3857,0,-1,-1
32865,128,97,miss,yes,16,4193,0,-1,-1
64243,250,243,miss,yes,17,4595,-68,-1,-1
2315,9,11,miss,yes,18,4619,66,-1,-1
64454,251,198,miss,yes,19,5062,62,-1,-1
55041,215,1,miss,yes,20,5121,0,-1,-1
18633,72,201,miss,yes,21,5577,0,-1,-1
14557,56,221,miss,yes,22,5853,0,-1,-1
61006,238,78,miss,yes,23,5966,59,-1,-1
62615,244,151,miss,no,1,407,37,-1,-1
7591,29,167,miss,yes,24,6311,105,-1,-1
64747,252,235,miss,yes,25,6635,58,-1,-1
6727,26,71,miss,yes,26,6727,-111,-1,-1
32315,126,59,miss,yes,27,6971,-114,-1,-1
60645,236,229,miss,yes,28,7397,0,-1,-1
6308,24,164,miss,yes,29,7588,0,-1,-1
45688,178,120,miss,yes,30,7800,0,-1,-1
969,3,201,miss,yes,31,8137,0,-1,-1
40891,159,187,miss,yes,32,8379,-18,-1,-1
49294,192,142,miss,yes,33,8590,48,-1,-1
41118,160,158,miss,yes,34,8862,40,-1,-1
21395,83,147,miss,yes,35,9107,-28,-1,-1
6091,23,203,miss,yes,36,9419,-14,-1,-1
32541,127,29,miss,yes,37,9501,0,-1,-1
17665,69,1,miss,yes,38,9729,0,-1,-1
3784,14,200,miss,yes,39,10184,0,-1,-1
28718,112,46,miss,no,5,1326,28,-1,-1
59240,231,104,miss,yes,40,10344,0,-1,-1
40178,156,242,miss,no,4,1266,39,-1,-1
60086,234,182,miss,yes,41,10678,58,-1,-1
42252,165,12,miss,yes,42,10764,0,-1,-1
44770,174,226,miss,yes,43,11234,43,-1,-1
22514,87,242,miss,yes,44,11506,21,-1,-1
3067,11,251,miss,yes,45,11771,-2,-1,-1
15757,61,141,miss,yes,46,11917,0,-1,-1
31649,123,161,miss,yes,47,12193,0,-1,-1
10842,42,90,miss,yes,48,12378,10,-1,-1
43765,170,245,miss,yes,49,12789,0,-1,-1
33405,130,125,miss,yes,50,12925,0,-1,-1
44954,175,154,miss,yes,51,13210,43,-1,-1
56657,221,81,miss,yes,52,13393,0,-1,-1
5003,19,139,miss,yes,53,13707,-30,-1,-1
50227,196,51,miss,yes,54,13875,12,-1,-1
19358,75,158,miss,yes,55,14238,18,-1,-1
36529,142,177,miss,yes,56,14513,0,-1,-1
10392,40,152,miss,yes,57,14744,0,-1,-1
58882,230,2,miss,yes,58,14850,57,-1,-1
5129,20,9,miss,yes,59,15113,0,-1,-1
58554,228,186,miss,yes,60,15546,57,-1,-1
58584,228,216,hit,no,60,15576,0,-1,-1
27444,107,52,miss,yes,61,15668,0,-1,-1
58982,230,102,hit,no,58,14950,57,-1,-1
51476,201,20,miss,yes,62,15892,0,-1,-1
6796,26,140,miss,no,26,6796,0,-1,-1
21311,83,63,miss,no,35,9023,-49,-1,-1
30705,119,241,miss,yes,63,16369,0,-1,-1
28964,113,36,miss,yes,64,16420,0,-1,-1
41003,160,43,miss,no,34,8747,10,-1,-1
20259,79,35,miss,yes,65,16675,-56,-1,-1
57857,226,1,miss,no,12,3073,0,-1,-1
63258,247,26,miss,yes,66,16922,61,-1,-1
36374,142,22,hit,no,56,14358,35,-1,-1
692,2,180,miss,yes,67,17332,0,-1,-1
43121,168,113,miss,yes,68,17521,0,-1,-1
48128,188,0,miss,yes,69,17664,0,-1,-1
34561,135,1,miss,yes,70,17921,0,-1,-1
49213,192,61,miss,no,33,8509,0,-1,-1
36922,144,58,miss,yes,71,18234,36,-1,-1
59162,231,26,miss,no,40,10266,57,-1,-1
50552,197,120,miss,yes,72,18552,0,-1,-1
17866,69,202,miss,no,38,9930,17,-1,-1
18145,70,225,miss,yes,73,18913,0,-1,-1
3884,15,44,miss,yes,74,18988,0,-1,-1
54388,212,116,miss,yes,75,19316,0,-1,-1
42932,167,180,miss,yes,76,19636,0,-1,-1
46919,183,71,miss,yes,77,19783,-47,-1,-1
58892,230,12,miss,no,58,14860,0,-1,-1
8620,33,172,miss,yes,78,20140,0,-1,-1
38336,149,192,miss,yes,79,20416,0,-1,-1
64357,251,101,miss,no,19,4965,0,-1,-1
23387,91,91,miss,yes,80,20571,-42,-1,-1
42632,166,136,miss,yes,81,20872,0,-1,-1
15913,62,41,miss,yes,82,21033,0,-1,-1
15679,61,63,miss,no,46,11839,79,-1,-1
22501,87,229,miss,no,44,11493,0,-1,-1
37540,146,164,miss,yes,83,21412,0,-1,-1
5527,21,151,miss,yes,84,21655,101,-1,-1
63921,249,177,miss,yes,85,21937,0,-1,-1
62716,244,252,miss,no,1,508,0,-1,-1
32874,128,106,miss,no,16,4202,32,-1,-1
64390,251,134,hit,no,19,4998,62,-1,-1
63101,246,125,miss,yes,86,22141,0,-1,-1
61802,241,106,miss,yes,87,22378,60,-1,-1
19648,76,192,miss,yes,88,22720,0,-1,-1
29031,113,103,miss,no,64,16487,89,-1,-1
44981,175,181,miss,no,51,13237,0,-1,-1
28092,109,188,miss,no,13,3516,0,-1,-1
9448,36,232,miss,yes,89,23016,0,-1,-1
44744,174,200,miss,no,43,11208,0,-1,-1
61496,240,56,miss,yes,90,23096,0,-1,-1
31453,122,221,miss,yes,91,23517,0,-1,-1
60746,237,74,miss,yes,92,23626,59,-1,-1
12199,47,167,miss,no,10,2727,-23,-1,-1
62255,243,47,miss,yes,93,23855,-53,-1,-1
21793,85,33,miss,yes,94,24097,0,-1,-1
26544,103,176,miss,yes,95,24496,0,-1,-1
14964,58,116,miss,yes,96,24692,0,-1,-1
41462,161,246,miss,yes,97,25078,40,-1,-1
56089,219,25,miss,yes,98,25113,0,-1,-1
52038,203,70,miss,yes,99,25414,50,-1,-1
47982,187,110,miss,yes,100,25710,46,-1,-1
59484,232,92,miss,yes,101,25948,0,-1,-1
50924,198,236,miss,yes,102,26348,0,-1,-1
6942,27,30,miss,yes,103,26398,6,-1,-1
34998,136,182,miss,yes,104,26806,34,-1,-1
27069,105,189,miss,yes,105,27069,0,-1,-1
51926,202,214,miss,yes,106,27350,50,-1,-1
60645,236,229,miss,no,28,7397,0,-1,-1
43181,168,173,miss,no,68,17581,0,-1,-1
10559,41,63,miss,yes,107,27455,79,-1,-1
4664,18,56,miss,yes,108,27704,0,-1,-1
28578,111,162,miss,yes,109,28066,27,-1,-1
59516,232,124,hit,no,101,25980,0,-1,-1
38912,152,0,miss,no,15,3840,0,-1,-1
63562,248,74,miss,yes,110,28234,62,-1,-1
64846,253,78,miss,no,8,2126,63,-1,-1
62938,245,218,miss,yes,111,28634,61,-1,-1
27194,106,58,miss,yes,112,28730,26,-1,-1
28804,112,132,miss,no,5,1412,0,-1,-1
61703,241,7,miss,no,87,22279,65,-1,-1
10998,42,246,miss,no,48,12534,10,-1,-1
6596,25,196,miss,yes,113,29124,0,-1,-1
37721,147,89,miss,yes,114,29273,0,-1,-1
43430,169,166,miss,yes,115,29606,42,-1,-1
22692,88,164,miss,no,11,2980,0,-1,-1
62971,245,251,hit,no,111,28667,126,-1,-1
47125,184,21,miss,yes,116,29717,0,-1,-1
52521,205,41,miss,yes,117,29993,0,-1,-1
34646,135,86,miss,no,70,18006,33,-1,-1
32889,128,121,miss,no,16,4217,0,-1,-1
13055,50,255,miss,yes,118,30463,-65,-1,-1
65416,255,136,miss,yes,119,30600,0,-1,-1
62869,245,149,hit,no,111,28565,0,-1,-1
57314,223,226,miss,yes,120,30946,55,-1,-1
12659,49,115,miss,yes,121,31091,92,-1,-1
14052,54,228,miss,yes,122,31460,0,-1,-1
32956,128,188,hit,no,16,4284,0,-1,-1
49273,192,121,miss,no,33,8569,0,-1,-1
50352,196,176,miss,no,54,14000,0,-1,-1
49737,194,73,miss,yes,123,31561,0,-1,-1
15555,60,195,miss,yes,124,31939,48,-1,-1
47475,185,115,miss,yes,125,32115,92,-1,-1
15328,59,224,miss,yes,126,32480,0,-1,-1
34621,135,61,hit,no,70,17981,0,-1,-1
51365,200,165,miss,yes,127,32677,0,-1,-1
32820,128,52,hit,no,16,4148,0,-1,-1
48855,190,215,miss,yes,0,215,-75,66,0
12224,47,192,miss,no,10,2752,0,-1,-1
2035,7,243,miss,yes,1,499,-4,244,1
60539,236,123,miss,no,28,7291,30,-1,-1
14595,57,3,miss,yes,2,515,64,117,2
13853,54,29,hit,no,122,31261,0,-1,-1
24143,94,79,miss,yes,3,847,-109,209,3
15216,59,112,hit,no,126,32368,0,-1,-1
8113,31,177,miss,yes,4,1201,0,156,4
22640,88,112,miss,no,11,2928,0,-1,-1
32978,128,210,hit,no,16,4306,32,-1,-1
39151,152,239,miss,no,15,4079,59,-1,-1
19520,76,64,miss,no,88,22592,0,-1,-1
58141,227,29,miss,yes,5,1309,0,112,5
63959,249,215,miss,no,85,21975,117,-1,-1
53040,207,48,miss,yes,6,1584,0,95,6
55842,218,34,miss,yes,7,1826,54,189,7
585,2,73,miss,no,67,17225,0,-1,-1
51229,200,29,miss,no,127,32541,0,-1,-1
64181,250,181,miss,no,17,4533,0,-1,-1
54879,214,95,miss,no,14,3679,-105,-1,-1
28210,110,50,miss,yes,8,2098,27,253,8
10268,40,28,miss,no,57,14620,0,-1,-1
15395,60,35,miss,no,124,31779,8,-1,-1
12884,50,84,miss,no,118,30292,0,-1,-1
2149,8,101,miss,yes,9,2405,0,71,9
53483,208,235,miss,yes,10,2795,58,47,10
59606,232,214,miss,no,101,26070,58,-1,-1
14981,58,133,miss,no,96,24709,0,-1,-1
36672,143,64,miss,yes,11,2880,0,88,11
23197,90,157,miss,yes,12,3229,0,226,12
36518,142,166,miss,no,56,14502,35,-1,-1
13361,52,49,miss,yes,13,3377,0,109,13
19810,77,98,miss,yes,14,3682,19,214,14
25955,101,99,miss,yes,15,3939,88,152,15
62678,244,214,miss,yes,16,4310,61,128,16
26021,101,165,hit,no,15,4005,0,-1,-1
29409,114,225,miss,yes,17,4577,0,250,17
38111,148,223,miss,yes,18,4831,55,9,18
58573,228,205,miss,no,60,15565,0,-1,-1
56840,222,8,miss,yes,19,4872,0,251,19
41306,161,90,miss,no,97,24922,40,-1,-1
54426,212,154,miss,no,75,19354,53,-1,-1
3617,14,33,miss,no,39,10017,0,-1,-1
50652,197,220,miss,no,72,18652,0,-1,-1
41452,161,236,hit,no,97,25068,0,-1,-1
20241,79,17,miss,no,65,16657,0,-1,-1
31723,123,235,miss,no,47,12267,-6,-1,-1
53747,209,243,miss,yes,20,5363,124,215,20
28550,111,134,miss,no,109,28038,27,-1,-1
23402,91,106,miss,no,80,20586,22,-1,-1
21205,82,213,miss,yes,21,5589,0,72,21
56181,219,117,miss,no,98,25205,0,-1,-1
57470,224,126,miss,yes,22,5758,56,56,22
39933,155,253,miss,yes,23,6141,0,238,23
34964,136,148,miss,no,104,26772,0,-1,-1
24781,96,205,miss,yes,24,6349,0,29,24
41747,163,19,miss,yes,25,6419,-60,252,25
62564,244,100,miss,no,16,4196,0,-1,-1
58461,228,93,miss,no,60,15453,0,-1,-1
20858,81,122,miss,yes,26,6778,20,26,26
49301,192,149,miss,no,33,8597,0,-1,-1
40572,158,124,miss,yes,27,7036,0,126,27
23840,93,32,miss,yes,28,7200,0,236,28
35278,137,206,miss,yes,29,7630,34,24,29
62905,245,185,miss,no,111,28601,0,-1,-1
56650,221,74,miss,no,52,13386,55,-1,-1
11149,43,141,miss,yes,30,7821,0,178,30
38920,152,8,miss,yes,31,7944,0,3,31
23430,91,134,miss,no,80,20614,22,-1,-1
57592,224,248,miss,no,22,5880,0,-1,-1
3080,12,8,miss,yes,32,8200,0,159,32
6677,26,21,miss,yes,33,8469,0,192,33
50704,198,16,miss,no,102,26128,0,-1,-1
51883,202,171,miss,no,106,27307,-86,-1,-1
62799,245,79,hit,no,111,28495,83,-1,-1
20188,78,220,miss,yes,34,8924,0,160,34
1245,4,221,miss,yes,35,9181,0,83,35
12220,47,188,miss,yes,36,9404,0,23,36
17602,68,194,miss,yes,37,9666,17,127,37
28609,111,193,miss,no,109,28097,0,-1,-1
42694,166,198,miss,no,81,20934,41,-1,-1
29826,116,130,miss,yes,38,9858,29,69,38
13827,54,3,miss,no,122,31235,-128,-1,-1
27336,106,200,miss,no,112,28872,0,-1,-1
53343,208,95,miss,no,10,2655,23,-1,-1
11533,45,13,miss,yes,39,9997,0,14,39
41713,162,241,miss,yes,40,10481,0,231,40
33890,132,98,miss,yes,41,10594,33,234,41
4894,19,30,miss,no,53,13598,4,-1,-1
57599,224,255,miss,no,22,5887,63,-1,-1
3870,15,30,miss,no,74,18974,3,-1,-1
58622,228,254,miss,no,60,15614,57,-1,-1
29780,116,84,hit,no,38,9812,0,-1,-1
62553,244,89,miss,no,16,4185,0,-1,-1
2303,8,255,miss,no,9,2559,63,-1,-1
51915,202,203,miss,no,106,27339,-78,-1,-1
6251,24,107,miss,yes,42,10859,26,165,42
38107,148,219,miss,no,18,4827,54,-1,-1
59325,231,189,miss,yes,43,11197,0,174,43
61295,239,111,miss,yes,44,11375,-37,87,44
26699,104,75,miss,yes,45,11595,18,11,45
51188,199,244,miss,yes,46,12020,0,61,46
59519,232,127,miss,no,101,25983,31,-1,-1
7345,28,177,miss,yes,47,12209,0,123,47
20325,79,101,miss,no,65,16741,0,-1,-1
39633,154,209,miss,yes,48,12497,0,42,48
1562,6,26,miss,yes,49,12570,1,170,49
7580,29,156,miss,yes,50,12956,0,130,50
8170,31,234,miss,no,4,1258,7,-1,-1
62256,243,48,miss,no,93,23856,0,-1,-1
35823,139,239,miss,yes,51,13295,-5,175,51
27790,108,142,miss,yes,52,13454,27,221,52
13191,51,135,miss,yes,53,13703,-31,19,53
9772,38,44,miss,yes,54,13868,0,196,54
7477,29,53,hit,no,50,12853,0,-1,-1
44455,173,167,miss,yes,55,14247,105,75,55
59546,232,154,hit,no,101,26010,58,-1,-1
49347,192,195,miss,yes,56,14531,48,142,56
36539,142,187,miss,yes,57,14779,-82,40,57
12453,48,165,miss,yes,58,15013,0,230,58
49640,193,232,miss,yes,59,15336,0,20,59
28290,110,130,miss,no,8,2178,27,-1,-1
44817,175,17,miss,yes,60,15377,0,228,60
8565,33,117,miss,no,78,20085,0,-1,-1
16399,64,15,miss,yes,61,15631,3,107,61
41934,163,206,miss,no,25,6606,40,-1,-1
45457,177,145,miss,yes,62,16017,0,201,62
33856,132,64,miss,no,41,10560,0,-1,-1
19498,76,42,miss,no,88,22570,19,-1,-1
17661,68,253,miss,no,37,9725,0,-1,-1
63829,249,85,miss,no,85,21845,0,-1,-1
42034,164,50,miss,yes,63,16178,41,119,63
28928,113,0,miss,no,64,16384,0,-1,-1
30711,119,247,miss,yes,64,16631,-3,113,64
8800,34,96,miss,yes,65,16736,0,79,65
52335,204,111,miss,yes,66,17007,27,247,66
38775,151,119,miss,yes,67,17271,-35,2,67
52704,205,224,miss,no,117,30176,0,-1,-1
24380,95,60,miss,yes,68,17468,0,168,68
19602,76,146,hit,no,88,22674,19,-1,-1
57998,226,142,miss,yes,69,17806,56,188,69
2919,11,103,miss,yes,70,18023,-39,135,70
8362,32,170,miss,yes,71,18346,8,144,71
17884,69,220,miss,yes,72,18652,0,197,72
45737,178,169,miss,yes,73,18857,0,70,73
47894,187,22,miss,no,100,25622,46,-1,-1
59667,233,19,miss,yes,74,18963,68,15,74
10385,40,145,miss,yes,75,19345,0,212,75
52782,206,46,miss,yes,76,19502,51,167,76
64416,251,160,miss,yes,77,19872,0,183,77
40946,159,242,miss,yes,78,20210,39,33,78
16778,65,138,miss,yes,79,20362,16,149,79
27159,106,23,miss,no,112,28695,-123,-1,-1
