Logical Address,Page Number,Offset,TLB Hit/Miss,Page Fault,Frame Number,Physical Address,Value,Replaced Page,Replaced Frame
0,0,0,miss,yes,0,0,0,-1,-1
1,0,1,hit,no,0,1,0,-1,-1
2,0,2,hit,no,0,2,0,-1,-1
3,0,3,hit,no,0,3,0,-1,-1
4,0,4,hit,no,0,4,0,-1,-1
5,0,5,hit,no,0,5,0,-1,-1
6,0,6,hit,no,0,6,0,-1,-1
7,0,7,hit,no,0,7,1,-1,-1
8,0,8,hit,no,0,8,0,-1,-1
9,0,9,hit,no,0,9,0,-1,-1
10,0,10,hit,no,0,10,0,-1,-1
11,0,11,hit,no,0,11,2,-1,-1
12,0,12,hit,no,0,12,0,-1,-1
13,0,13,hit,no,0,13,0,-1,-1
14,0,14,hit,no,0,14,0,-1,-1
15,0,15,hit,no,0,15,3,-1,-1
16,0,16,hit,no,0,16,0,-1,-1
17,0,17,hit,no,0,17,0,-1,-1
18,0,18,hit,no,0,18,0,-1,-1
19,0,19,hit,no,0,19,4,-1,-1
20,0,20,hit,no,0,20,0,-1,-1
21,0,21,hit,no,0,21,0,-1,-1
22,0,22,hit,no,0,22,0,-1,-1
23,0,23,hit,no,0,23,5,-1,-1
24,0,24,hit,no,0,24,0,-1,-1
25,0,25,hit,no,0,25,0,-1,-1
26,0,26,hit,no,0,26,0,-1,-1
27,0,27,hit,no,0,27,6,-1,-1
28,0,28,hit,no,0,28,0,-1,-1
29,0,29,hit,no,0,29,0,-1,-1
30,0,30,hit,no,0,30,0,-1,-1
31,0,31,hit,no,0,31,7,-1,-1
32,0,32,hit,no,0,32,0,-1,-1
33,0,33,hit,no,0,33,0,-1,-1
34,0,34,hit,no,0,34,0,-1,-1
35,0,35,hit,no,0,35,8,-1,-1
36,0,36,hit,no,0,36,0,-1,-1
37,0,37,hit,no,0,37,0,-1,-1
38,0,38,hit,no,0,38,0,-1,-1
39,0,39,hit,no,0,39,9,-1,-1
40,0,40,hit,no,0,40,0,-1,-1
41,0,41,hit,no,0,41,0,-1,-1
42,0,42,hit,no,0,42,0,-1,-1
43,0,43,hit,no,0,43,10,-1,-1
44,0,44,hit,no,0,44,0,-1,-1
45,0,45,hit,no,0,45,0,-1,-1
46,0,46,hit,no,0,46,0,-1,-1
47,0,47,hit,no,0,47,11,-1,-1
48,0,48,hit,no,0,48,0,-1,-1
49,0,49,hit,no,0,49,0,-1,-1
50,0,50,hit,no,0,50,0,-1,-1
51,0,51,hit,no,0,51,12,-1,-1
52,0,52,hit,no,0,52,0,-1,-1
53,0,53,hit,no,0,53,0,-1,-1
54,0,54,hit,no,0,54,0,-1,-1
55,0,55,hit,no,0,55,13,-1,-1
56,0,56,hit,no,0,56,0,-1,-1
57,0,57,hit,no,0,57,0,-1,-1
58,0,58,hit,no,0,58,0,-1,-1
59,0,59,hit,no,0,59,14,-1,-1
60,0,60,hit,no,0,60,0,-1,-1
61,0,61,hit,no,0,61,0,-1,-1
62,0,62,hit,no,0,62,0,-1,-1
63,0,63,hit,no,0,63,15,-1,-1
64,0,64,hit,no,0,64,0,-1,-1
65,0,65,hit,no,0,65,0,-1,-1
66,0,66,hit,no,0,66,0,-1,-1
67,0,67,hit,no,0,67,16,-1,-1
68,0,68,hit,no,0,68,0,-1,-1
69,0,69,hit,no,0,69,0,-1,-1
70,0,70,hit,no,0,70,0,-1,-1
71,0,71,hit,no,0,71,17,-1,-1
72,0,72,hit,no,0,72,0,-1,-1
73,0,73,hit,no,0,73,0,-1,-1
74,0,74,hit,no,0,74,0,-1,-1
75,0,75,hit,no,0,75,18,-1,-1
76,0,76,hit,no,0,76,0,-1,-1
77,0,77,hit,no,0,77,0,-1,-1
78,0,78,hit,no,0,78,0,-1,-1
79,0,79,hit,no,0,79,19,-1,-1
80,0,80,hit,no,0,80,0,-1,-1
81,0,81,hit,no,0,81,0,-1,-1
82,0,82,hit,no,0,82,0,-1,-1
83,0,83,hit,no,0,83,20,-1,-1
84,0,84,hit,no,0,84,0,-1,-1
85,0,85,hit,no,0,85,0,-1,-1
86,0,86,hit,no,0,86,0,-1,-1
87,0,87,hit,no,0,87,21,-1,-1
88,0,88,hit,no,0,88,0,-1,-1
89,0,89,hit,no,0,89,0,-1,-1
90,0,90,hit,no,0,90,0,-1,-1
91,0,91,hit,no,0,91,22,-1,-1
92,0,92,hit,no,0,92,0,-1,-1
93,0,93,hit,no,0,93,0,-1,-1
94,0,94,hit,no,0,94,0,-1,-1
95,0,95,hit,no,0,95,23,-1,-1
96,0,96,hit,no,0,96,0,-1,-1
97,0,97,hit,no,0,97,0,-1,-1
98,0,98,hit,no,0,98,0,-1,-1
99,0,99,hit,no,0,99,24,-1,-1
100,0,100,hit,no,0,100,0,-1,-1
101,0,101,hit,no,0,101,0,-1,-1
102,0,102,hit,no,0,102,0,-1,-1
103,0,103,hit,no,0,103,25,-1,-1
104,0,104,hit,no,0,104,0,-1,-1
105,0,105,hit,no,0,105,0,-1,-1
106,0,106,hit,no,0,106,0,-1,-1
107,0,107,hit,no,0,107,26,-1,-1
108,0,108,hit,no,0,108,0,-1,-1
109,0,109,hit,no,0,109,0,-1,-1
110,0,110,hit,no,0,110,0,-1,-1
111,0,111,hit,no,0,111,27,-1,-1
112,0,112,hit,no,0,112,0,-1,-1
113,0,113,hit,no,0,113,0,-1,-1
114,0,114,hit,no,0,114,0,-1,-1
115,0,115,hit,no,0,115,28,-1,-1
116,0,116,hit,no,0,116,0,-1,-1
117,0,117,hit,no,0,117,0,-1,-1
118,0,118,hit,no,0,118,0,-1,-1
119,0,119,hit,no,0,119,29,-1,-1
120,0,120,hit,no,0,120,0,-1,-1
121,0,121,hit,no,0,121,0,-1,-1
122,0,122,hit,no,0,122,0,-1,-1
123,0,123,hit,no,0,123,30,-1,-1
124,0,124,hit,no,0,124,0,-1,-1
125,0,125,hit,no,0,125,0,-1,-1
126,0,126,hit,no,0,126,0,-1,-1
127,0,127,hit,no,0,127,31,-1,-1
128,0,128,hit,no,0,128,0,-1,-1
129,0,129,hit,no,0,129,0,-1,-1
130,0,130,hit,no,0,130,0,-1,-1
131,0,131,hit,no,0,131,32,-1,-1
132,0,132,hit,no,0,132,0,-1,-1
133,0,133,hit,no,0,133,0,-1,-1
134,0,134,hit,no,0,134,0,-1,-1
135,0,135,hit,no,0,135,33,-1,-1
136,0,136,hit,no,0,136,0,-1,-1
137,0,137,hit,no,0,137,0,-1,-1
138,0,138,hit,no,0,138,0,-1,-1
139,0,139,hit,no,0,139,34,-1,-1
140,0,140,hit,no,0,140,0,-1,-1
141,0,141,hit,no,0,141,0,-1,-1
142,0,142,hit,no,0,142,0,-1,-1
143,0,143,hit,no,0,143,35,-1,-1
144,0,144,hit,no,0,144,0,-1,-1
145,0,145,hit,no,0,145,0,-1,-1
146,0,146,hit,no,0,146,0,-1,-1
147,0,147,hit,no,0,147,36,-1,-1
148,0,148,hit,no,0,148,0,-1,-1
149,0,149,hit,no,0,149,0,-1,-1
150,0,150,hit,no,0,150,0,-1,-1
151,0,151,hit,no,0,151,37,-1,-1
152,0,152,hit,no,0,152,0,-1,-1
153,0,153,hit,no,0,153,0,-1,-1
154,0,154,hit,no,0,154,0,-1,-1
155,0,155,hit,no,0,155,38,-1,-1
156,0,156,hit,no,0,156,0,-1,-1
157,0,157,hit,no,0,157,0,-1,-1
158,0,158,hit,no,0,158,0,-1,-1
159,0,159,hit,no,0,159,39,-1,-1
160,0,160,hit,no,0,160,0,-1,-1
161,0,161,hit,no,0,161,0,-1,-1
162,0,162,hit,no,0,162,0,-1,-1
163,0,163,hit,no,0,163,40,-1,-1
164,0,164,hit,no,0,164,0,-1,-1
165,0,165,hit,no,0,165,0,-1,-1
166,0,166,hit,no,0,166,0,-1,-1
167,0,167,hit,no,0,167,41,-1,-1
168,0,168,hit,no,0,168,0,-1,-1
169,0,169,hit,no,0,169,0,-1,-1
170,0,170,hit,no,0,170,0,-1,-1
171,0,171,hit,no,0,171,42,-1,-1
172,0,172,hit,no,0,172,0,-1,-1
173,0,173,hit,no,0,173,0,-1,-1
174,0,174,hit,no,0,174,0,-1,-1
175,0,175,hit,no,0,175,43,-1,-1
176,0,176,hit,no,0,176,0,-1,-1
177,0,177,hit,no,0,177,0,-1,-1
178,0,178,hit,no,0,178,0,-1,-1
179,0,179,hit,no,0,179,44,-1,-1
180,0,180,hit,no,0,180,0,-1,-1
181,0,181,hit,no,0,181,0,-1,-1
182,0,182,hit,no,0,182,0,-1,-1
