Logical Address,Page Number,Offset,TLB Hit/Miss,Page Fault,Frame Number,Physical Address,Value,Replaced Page,Replaced Frame
0,0,0,miss,yes,0,0,0,-1,-1
256,1,0,miss,yes,1,256,0,-1,-1
512,2,0,miss,yes,2,512,0,-1,-1
768,3,0,miss,yes,3,768,0,-1,-1
1024,4,0,miss,yes,4,1024,0,-1,-1
1280,5,0,miss,yes,5,1280,0,-1,-1
1536,6,0,miss,yes,6,1536,0,-1,-1
1792,7,0,miss,yes,7,1792,0,-1,-1
2048,8,0,miss,yes,8,2048,0,-1,-1
2304,9,0,miss,yes,9,2304,0,-1,-1
2560,10,0,miss,yes,10,2560,0,-1,-1
2816,11,0,miss,yes,11,2816,0,-1,-1
3072,12,0,miss,yes,12,3072,0,-1,-1
3328,13,0,miss,yes,13,3328,0,-1,-1
3584,14,0,miss,yes,14,3584,0,-1,-1
3840,15,0,miss,yes,15,3840,0,-1,-1
4096,16,0,miss,yes,16,4096,0,-1,-1
4352,17,0,miss,yes,17,4352,0,-1,-1
4608,18,0,miss,yes,18,4608,0,-1,-1
4864,19,0,miss,yes,19,4864,0,-1,-1
5120,20,0,miss,yes,20,5120,0,-1,-1
5376,21,0,miss,yes,21,5376,0,-1,-1
5632,22,0,miss,yes,22,5632,0,-1,-1
5888,23,0,miss,yes,23,5888,0,-1,-1
6144,24,0,miss,yes,24,6144,0,-1,-1
6400,25,0,miss,yes,25,6400,0,-1,-1
6656,26,0,miss,yes,26,6656,0,-1,-1
6912,27,0,miss,yes,27,6912,0,-1,-1
7168,28,0,miss,yes,28,7168,0,-1,-1
7424,29,0,miss,yes,29,7424,0,-1,-1
7680,30,0,miss,yes,30,7680,0,-1,-1
7936,31,0,miss,yes,31,7936,0,-1,-1
8192,32,0,miss,yes,32,8192,0,-1,-1
8448,33,0,miss,yes,33,8448,0,-1,-1
8704,34,0,miss,yes,34,8704,0,-1,-1
8960,35,0,miss,yes,35,8960,0,-1,-1
9216,36,0,miss,yes,36,9216,0,-1,-1
9472,37,0,miss,yes,37,9472,0,-1,-1
9728,38,0,miss,yes,38,9728,0,-1,-1
9984,39,0,miss,yes,39,9984,0,-1,-1
10240,40,0,miss,yes,40,10240,0,-1,-1
10496,41,0,miss,yes,41,10496,0,-1,-1
10752,42,0,miss,yes,42,10752,0,-1,-1
11008,43,0,miss,yes,43,11008,0,-1,-1
11264,44,0,miss,yes,44,11264,0,-1,-1
11520,45,0,miss,yes,45,11520,0,-1,-1
11776,46,0,miss,yes,46,11776,0,-1,-1
12032,47,0,miss,yes,47,12032,0,-1,-1
12288,48,0,miss,yes,48,12288,0,-1,-1
12544,49,0,miss,yes,49,12544,0,-1,-1
12800,50,0,miss,yes,50,12800,0,-1,-1
13056,51,0,miss,yes,51,13056,0,-1,-1
13312,52,0,miss,yes,52,13312,0,-1,-1
13568,53,0,miss,yes,53,13568,0,-1,-1
13824,54,0,miss,yes,54,13824,0,-1,-1
14080,55,0,miss,yes,55,14080,0,-1,-1
14336,56,0,miss,yes,56,14336,0,-1,-1
14592,57,0,miss,yes,57,14592,0,-1,-1
14848,58,0,miss,yes,58,14848,0,-1,-1
15104,59,0,miss,yes,59,15104,0,-1,-1
15360,60,0,miss,yes,60,15360,0,-1,-1
15616,61,0,miss,yes,61,15616,0,-1,-1
15872,62,0,miss,yes,62,15872,0,-1,-1
16128,63,0,miss,yes,63,16128,0,-1,-1
16384,64,0,miss,yes,64,16384,0,-1,-1
16640,65,0,miss,yes,65,16640,0,-1,-1
16896,66,0,miss,yes,66,16896,0,-1,-1
17152,67,0,miss,yes,67,17152,0,-1,-1
17408,68,0,miss,yes,68,17408,0,-1,-1
17664,69,0,miss,yes,69,17664,0,-1,-1
17920,70,0,miss,yes,70,17920,0,-1,-1
18176,71,0,miss,yes,71,18176,0,-1,-1
18432,72,0,miss,yes,72,18432,0,-1,-1
18688,73,0,miss,yes,73,18688,0,-1,-1
18944,74,0,miss,yes,74,18944,0,-1,-1
19200,75,0,miss,yes,75,19200,0,-1,-1
19456,76,0,miss,yes,76,19456,0,-1,-1
19712,77,0,miss,yes,77,19712,0,-1,-1
19968,78,0,miss,yes,78,19968,0,-1,-1
20224,79,0,miss,yes,79,20224,0,-1,-1
20480,80,0,miss,yes,80,20480,0,-1,-1
20736,81,0,miss,yes,81,20736,0,-1,-1
20992,82,0,miss,yes,82,20992,0,-1,-1
21248,83,0,miss,yes,83,21248,0,-1,-1
21504,84,0,miss,yes,84,21504,0,-1,-1
21760,85,0,miss,yes,85,21760,0,-1,-1
22016,86,0,miss,yes,86,22016,0,-1,-1
22272,87,0,miss,yes,87,22272,0,-1,-1
22528,88,0,miss,yes,88,22528,0,-1,-1
22784,89,0,miss,yes,89,22784,0,-1,-1
23040,90,0,miss,yes,90,23040,0,-1,-1
23296,91,0,miss,yes,91,23296,0,-1,-1
23552,92,0,miss,yes,92,23552,0,-1,-1
23808,93,0,miss,yes,93,23808,0,-1,-1
24064,94,0,miss,yes,94,24064,0,-1,-1
24320,95,0,miss,yes,95,24320,0,-1,-1
24576,96,0,miss,yes,96,24576,0,-1,-1
24832,97,0,miss,yes,97,24832,0,-1,-1
25088,98,0,miss,yes,98,25088,0,-1,-1
25344,99,0,miss,yes,99,25344,0,-1,-1
25600,100,0,miss,yes,100,25600,0,-1,-1
25856,101,0,miss,yes,101,25856,0,-1,-1
26112,102,0,miss,yes,102,26112,0,-1,-1
26368,103,0,miss,yes,103,26368,0,-1,-1
26624,104,0,miss,yes,104,26624,0,-1,-1
26880,105,0,miss,yes,105,26880,0,-1,-1
27136,106,0,miss,yes,106,27136,0,-1,-1
27392,107,0,miss,yes,107,27392,0,-1,-1
27648,108,0,miss,yes,108,27648,0,-1,-1
27904,109,0,miss,yes,109,27904,0,-1,-1
28160,110,0,miss,yes,110,28160,0,-1,-1
28416,111,0,miss,yes,111,28416,0,-1,-1
28672,112,0,miss,yes,112,28672,0,-1,-1
28928,113,0,miss,yes,113,28928,0,-1,-1
29184,114,0,miss,yes,114,29184,0,-1,-1
29440,115,0,miss,yes,115,29440,0,-1,-1
29696,116,0,miss,yes,116,29696,0,-1,-1
29952,117,0,miss,yes,117,29952,0,-1,-1
30208,118,0,miss,yes,118,30208,0,-1,-1
30464,119,0,miss,yes,119,30464,0,-1,-1
30720,120,0,miss,yes,120,30720,0,-1,-1
30976,121,0,miss,yes,121,30976,0,-1,-1
31232,122,0,miss,yes,122,31232,0,-1,-1
31488,123,0,miss,yes,123,31488,0,-1,-1
31744,124,0,miss,yes,124,31744,0,-1,-1
32000,125,0,miss,yes,125,32000,0,-1,-1
32256,126,0,miss,yes,126,32256,0,-1,-1
32512,127,0,miss,yes,127,32512,0,-1,-1
32768,128,0,miss,yes,0,0,0,0,0
33024,129,0,miss,yes,1,256,0,1,1
33280,130,0,miss,yes,2,512,0,2,2
33536,131,0,miss,yes,3,768,0,3,3
33792,132,0,miss,yes,4,1024,0,4,4
34048,133,0,miss,yes,5,1280,0,5,5
34304,134,0,miss,yes,6,1536,0,6,6
34560,135,0,miss,yes,7,1792,0,7,7
34816,136,0,miss,yes,8,2048,0,8,8
35072,137,0,miss,yes,9,2304,0,9,9
35328,138,0,miss,yes,10,2560,0,10,10
35584,139,0,miss,yes,11,2816,0,11,11
35840,140,0,miss,yes,12,3072,0,12,12
36096,141,0,miss,yes,13,3328,0,13,13
36352,142,0,miss,yes,14,3584,0,14,14
36608,143,0,miss,yes,15,3840,0,15,15
36864,144,0,miss,yes,16,4096,0,16,16
37120,145,0,miss,yes,17,4352,0,17,17
37376,146,0,miss,yes,18,4608,0,18,18
37632,147,0,miss,yes,19,4864,0,19,19
37888,148,0,miss,yes,20,5120,0,20,20
38144,149,0,miss,yes,21,5376,0,21,21
38400,150,0,miss,yes,22,5632,0,22,22
38656,151,0,miss,yes,23,5888,0,23,23
38912,152,0,miss,yes,24,6144,0,24,24
39168,153,0,miss,yes,25,6400,0,25,25
39424,154,0,miss,yes,26,6656,0,26,26
39680,155,0,miss,yes,27,6912,0,27,27
39936,156,0,miss,yes,28,7168,0,28,28
40192,157,0,miss,yes,29,7424,0,29,29
40448,158,0,miss,yes,30,7680,0,30,30
40704,159,0,miss,yes,31,7936,0,31,31
40960,160,0,miss,yes,32,8192,0,32,32
41216,161,0,miss,yes,33,8448,0,33,33
41472,162,0,miss,yes,34,8704,0,34,34
41728,163,0,miss,yes,35,8960,0,35,35
41984,164,0,miss,yes,36,9216,0,36,36
42240,165,0,miss,yes,37,9472,0,37,37
42496,166,0,miss,yes,38,9728,0,38,38
42752,167,0,miss,yes,39,9984,0,39,39
43008,168,0,miss,yes,40,10240,0,40,40
43264,169,0,miss,yes,41,10496,0,41,41
43520,170,0,miss,yes,42,10752,0,42,42
43776,171,0,miss,yes,43,11008,0,43,43
44032,172,0,miss,yes,44,11264,0,44,44
44288,173,0,miss,yes,45,11520,0,45,45
44544,174,0,miss,yes,46,11776,0,46,46
44800,175,0,miss,yes,47,12032,0,47,47
45056,176,0,miss,yes,48,12288,0,48,48
45312,177,0,miss,yes,49,12544,0,49,49
45568,178,0,miss,yes,50,12800,0,50,50
45824,179,0,miss,yes,51,13056,0,51,51
46080,180,0,miss,yes,52,13312,0,52,52
46336,181,0,miss,yes,53,13568,0,53,53
46592,182,0,miss,yes,54,13824,0,54,54
46848,183,0,miss,yes,55,14080,0,55,55
47104,184,0,miss,yes,56,14336,0,56,56
47360,185,0,miss,yes,57,14592,0,57,57
47616,186,0,miss,yes,58,14848,0,58,58
47872,187,0,miss,yes,59,15104,0,59,59
48128,188,0,miss,yes,60,15360,0,60,60
48384,189,0,miss,yes,61,15616,0,61,61
48640,190,0,miss,yes,62,15872,0,62,62
48896,191,0,miss,yes,63,16128,0,63,63
49152,192,0,miss,yes,64,16384,0,64,64
49408,193,0,miss,yes,65,16640,0,65,65
49664,194,0,miss,yes,66,16896,0,66,66
49920,195,0,miss,yes,67,17152,0,67,67
50176,196,0,miss,yes,68,17408,0,68,68
50432,197,0,miss,yes,69,17664,0,69,69
50688,198,0,miss,yes,70,17920,0,70,70
50944,199,0,miss,yes,71,18176,0,71,71
51200,200,0,miss,yes,72,18432,0,72,72
51456,201,0,miss,yes,73,18688,0,73,73
51712,202,0,miss,yes,74,18944,0,74,74
51968,203,0,miss,yes,75,19200,0,75,75
52224,204,0,miss,yes,76,19456,0,76,76
52480,205,0,miss,yes,77,19712,0,77,77
52736,206,0,miss,yes,78,19968,0,78,78
52992,207,0,miss,yes,79,20224,0,79,79
53248,208,0,miss,yes,80,20480,0,80,80
53504,209,0,miss,yes,81,20736,0,81,81
53760,210,0,miss,yes,82,20992,0,82,82
54016,211,0,miss,yes,83,21248,0,83,83
54272,212,0,miss,yes,84,21504,0,84,84
54528,213,0,miss,yes,85,21760,0,85,85
54784,214,0,miss,yes,86,22016,0,86,86
55040,215,0,miss,yes,87,22272,0,87,87
55296,216,0,miss,yes,88,22528,0,88,88
55552,217,0,miss,yes,89,22784,0,89,89
55808,218,0,miss,yes,90,23040,0,90,90
56064,219,0,miss,yes,91,23296,0,91,91
56320,220,0,miss,yes,92,23552,0,92,92
56576,221,0,miss,yes,93,23808,0,93,93
56832,222,0,miss,yes,94,24064,0,94,94
57088,223,0,miss,yes,95,24320,0,95,95
57344,224,0,miss,yes,96,24576,0,96,96
57600,225,0,miss,yes,97,24832,0,97,97
57856,226,0,miss,yes,98,25088,0,98,98
58112,227,0,miss,yes,99,25344,0,99,99
58368,228,0,miss,yes,100,25600,0,100,100
58624,229,0,miss,yes,101,25856,0,101,101
58880,230,0,miss,yes,102,26112,0,102,102
59136,231,0,miss,yes,103,26368,0,103,103
59392,232,0,miss,yes,104,26624,0,104,104
59648,233,0,miss,yes,105,26880,0,105,105
59904,234,0,miss,yes,106,27136,0,106,106
60160,235,0,miss,yes,107,27392,0,107,107
60416,236,0,miss,yes,108,27648,0,108,108
60672,237,0,miss,yes,109,27904,0,109,109
60928,238,0,miss,yes,110,28160,0,110,110
61184,239,0,miss,yes,111,28416,0,111,111
61440,240,0,miss,yes,112,28672,0,112,112
61696,241,0,miss,yes,113,28928,0,113,113
61952,242,0,miss,yes,114,29184,0,114,114
62208,243,0,miss,yes,115,29440,0,115,115
62464,244,0,miss,yes,116,29696,0,116,116
62720,245,0,miss,yes,117,29952,0,117,117
62976,246,0,miss,yes,118,30208,0,118,118
63232,247,0,miss,yes,119,30464,0,119,119
63488,248,0,miss,yes,120,30720,0,120,120
63744,249,0,miss,yes,121,30976,0,121,121
64000,250,0,miss,yes,122,31232,0,122,122
64256,251,0,miss,yes,123,31488,0,123,123
64512,252,0,miss,yes,124,31744,0,124,124
64768,253,0,miss,yes,125,32000,0,125,125
65024,254,0,miss,yes,126,32256,0,126,126
65280,255,0,miss,yes,127,32512,0,127,127
